Date;Titre;Contenu_lemmatisé
1985-10-18;Arrivée au Bénin d'une délégation d'experts égyptiens;cadre relance coopération bénino-égyptienne , délégation huit expert égyptien conduite frère Ahmed Samir mocktar , directeur ajoint département Afrique ministère égyptien affaire étranger séjourner depuis hier chez . durant séjour semaine délégation égyptien avoir séance travail expert béninois . quant délégation béninoise conduite camarade Edmond capo-tozo , directeur département Afrique pays arabe ( DAPAR ) ministère affaire étranger coopération , soumettra partie égyptien projet domaine Agriculture , hydraulique . santé construction bâtiment ouvrage art . cérémonie ouverture séance travail être dérouler hier ministère affaire étranger coopération sous présidence camarade Didier dassi , ministre Justice , charger inspection Entreprises public semi-publique assurer intérim homologue affaire étranger coopération . discours avoir prononcer occasion , camarade dassi avoir exalté coopération entre deux pays souhaiter rencontrer expert égyptien béninois permettre deux pays consolider lien fraternel existant entre peuple béninois égyptien . séjour conduire hôte notamment zou Mono prendre fin 24 octobre prochain . ladislas-prosper gbaphir
1985-10-18;Le centre de santé du district de Lokossa rénové grâce à une contribution libyenne;infrastructure centre santé lokossa , hier vieux bâtiment délabré , toit laisser entrevoir ciel maint endroit , véritabler nid chauve-souris rat , équipement vétuste , venir bénéficier grand réfection grâce important financement jamahyria Arabe libyen populaire socialiste . cérémonie remise officiel infrastructure être dérouler mercredi dernier lokossa avoir enregistrer participation excellence secrétaire Bureau populaire jamahyria Arabe libyen pays , frère Mustapha abussetta . noter également présence membre CEAP-Mono conduire préfet province camarade Martin dohou azonhiho . souhaiter bienvenue délégation officiel chef district urbain lokossa camarade Christine ahoumènou devoir faire genèse projet réfection avant remercier Libye grâce concours être désormais offrir personnel santé patient meilleur cadre travail accueil beaucoup plus sécurisant . intervention , directeur provincial santé Mono , avoir dire profond réfection redonnent centre santé District , vitalité , puissance longévité . « ainsi , avoir poursuivre , contribution CEAP-Mono réalisation politique domaine santé insère harmonieusement trajectoire objectif parti état révolutionnaire » . « être capacité sanitaire pays dépendre qualité ressource humain conséquent capacité productive pays ... » . directeur provincial santé Mono devoir rappeler 3 Complexes communalx santé , 11 maternité 2 poste secours kpinnou atomè construire mettre service depuis 23 avril 1982 avant remercier secrétaire Bureau populaire jamahyria Arabe libyen socialiste œuvre coopération agissante . part , frère Mustapha abussetta avoir indiquer « santé avant tout » être proverbe universel dire répéter chaque jour tout langue parler planète . exister terre , seul peuple dont souci cardinal être bon santé tout être humain composer . être raison lequel , avoir ajouter frère abussetta , autorité libyen avoir répondre favorablement promptement demander aide CEAP-Mono réfection infrastructure ( maternité dispensaire ) montant 14.728.020 F CFA . frère abussetta être réjoui nouveau preuve coopération fraternelle désintéressée lier deux peuple deux état frère , coopération rejeter tout verbalisme lénifiant traduire acte concret terrain . enfin préfet Mono avoir demander militant militant avoir toujours goût travail permanemment bien faire , seul être capable hâter avènement société où faire bon vivre chacun tout faire province Mono , province viable enviable lutte mener résolument contre sous-développement . réalisation être compléter construction salle toilette cuisine équiper foyer améliorer constituer premier expérience CSD province Mono . après coupure ruban symbolique visite local maternité dispensaire , frère abussetta avoir faire don lot médicament valeur 200.000 F CFA CSD lokossa mettre disposition deux médecin libyen service cotonou aller consulter malade deux fois mois . ephrem dossavi-messy
1985-12-06;Don de la Libye à l'UNB;cours bref cérémonie empreinte cordialité fraternité être dérouler hier après-midi campus universitaire abomey-calavi sous présidence camarade Vincent guézodjè , ministre enseignement moyens supérieur , avoir être procédé remise important lot matériel scientifique technique université national bénin . cérémonie avoir avoir cadre salle conférence imposant institut langue Arabe « Ha » présence excellence , frère moustapha abousseta , premier secrétaire Bureau populaire jamahirya Arabe libyen populaire socialiste république populaire bénin , recteur université national bénin , camarade souleyman bassabi , corps professoral , délégation Bureau populaire étudiant . don peuple libyen état révolutionnaire précisément faculté Sciences agronomique faculté Sciences technique valeur plus 243 million franc CFA , apporter fois encore preuve excellence rapport amitié coopération entre peuple libyen béninois . trois discours avoir marquer cérémonie : celui premier secrétaire Bureau populaire , recteur UNB ministre enseignement moyens supérieur . chacun orateur avoir exalté solidarité relation fraternel coopération agissante entre deux révolution démocratique populaire . ressort tout intervention dehors splendide bâtiment « ila » entièrement financer Libye être inaugurer bientôt , conformément engagement prendre 1983 leader grand révolution « El fateh » , colonel moamar khadafi lors visite officiel chez , résidence universitaire être également construire jamahirya Arabe libyen populaire socialiste . être pourquoi ministre guézodjè avoir tenir saluer publiquement effort personnel déploie depuis 1979 , frère abousseta . cérémonie avoir être clôturée visite matériel autorité deux pays présent UNB . L.P. gbaphir
1986-02-06;Cérémonies religieuses en mémoire de Maman YOKOSSI Maria Firmine;après inhumation dimanche dernier dépouille mortel maman yokossi Maria firmine , mère grand camarade lutte , président Mathieu kérékou , messe avoir être célébrer hier après-midi paroisse Dame cotonou , repos âme illustrer disparu . cérémonie religieux fort simple caractériser célébration mystère Sainte Cène , noter présence colonel Charles Gbèbada , chef etat-major général force armée Populaires bénin , camarade hospice Antonio , ministre Finances économie camarade Léopold ahouéva chef etat-major force sécurité public , nombreux ami parent défunt . Signalons cérémonie similaire être dérouler matinée hier mosquée central ville cotonou .
1986-03-05;Colloque international sur le dialogue islamo-chrétien à Porto-Novo;être Pasteur Harry Henry , surintendant église protestant bénin avoir officiellement ouvrir lundi dernier Hôtel dona porto-novo , colloque international dialogue islamo-chrétien regrouper jusque 8 mars prochain , responsable communauté musulman chrétien Sénégal , togo , Côte Ivoire , Cameroun , pays république populaire bénin . révérend Pasteur Harry Henry avoir entrée jeu déclarer vertu colloque être éliminer malentendu restaurer meilleur climat compréhension . colloque , avoir souligner , avoir mériter déceler localiser « tout élément essentiel non seulement justification existence islam christianisme prouvent falloir deux rendre compréhensible foi seul Dieu , Dieu Abraham » . participant avoir réfléchir pendant assises religion famille , religion état , religion éducation . réfléchir thème comme avoir reconnaître représenter Cameroun , être œuvrer épanouissement homme , humain homme , humain société comme vouloir ailleurs essence deux religion . réfléchir question faire proposition , être chose facile , tout agir problème spécifique champ bataille métaphysique où théorie détruire , constituer profane tissu obscurité . pasteur Harry Henry , « esprit agressivité issue jalousie faciliter heureux positif dialogue » . espérons colloque créera vraiment nouveau atmosphère lequel évolueront deux communauté , tout conserver identité , compléter développement harmonieux humanité . Salomon videhouenou
1986-03-11;Commémoration du 40e jour du décès de la vénérée maman Yokossi;cérémonie marquer 40e jour décès maman yokossi hondo otcha Maria firmine mère grand camarade lutte Mathieu kérékou être dérouler dimanche dernier plusieurs localité pays . natitingou cérémonie être dérouler cathédrale immaculée conception présence président kérékou entourer famille , autorité politico-administrative province nombreux militant militant venir témoigner sympathie chef état . messe requiem avoir dire occasion , Monseigneur Nicolas okioh , évêque diocèse natitingou avoir rendre hommage particulier vénérée maman yokossi avoir donner jour celui présider aujourd'hui courage abnégation destiner pays . cours veillée avoir avoir lieu samedi soir maison mortuaire , chef état ainsi nombreux délégation présent natitingou étalent recueillis devant photo défunt poser milieu couronne envoyer notamment président république togolais nombreux parent ami . après office religieux , délégation union islamique atacora avoir quant prodigué parole réconfortant endroit chef état . occasion cérémonie marquer chant prière repos âme illustrer disparu , président kérékou avoir remercier militant militant , action spontané avoir témoigner sympathie pendant épreuve . toutefois avoir tenir apporter démentir formel rumeur selon lequel moral être plus bas suite décès mère événement pouvoir entraîner piétinement révolution . tout calculateur diabolique , groupuscule opportuniste , président kérékou avoir répondre réaffirmant volonté assumer responsabilité incombent conduire révolution jusque victoire finale . rappeler mosquée central cotonou , office religieux avoir être célébrer dimanche matin imam kélani présence délégation parti état conduite camarade idi mallam membre bureau politique parti révolution populaire bénin . après-midi , fort délégation parti état conduite camarade Romain vilon guézo président comité permanent ANR avoir assister messe action grâce dire Eglise Saint Michel cotonou . homélie prononcer occasion , père Paul Gaspard Dagnon avoir mettre accent amour soi prochain ajouter seul amour saurait justifier pardon croire prochain .
1986-03-25;Intronisation du chef spirituel de la deuxième mosquée centrale de Porto-Novo;"être dimanche dernier avoir avoir lieu cérémonie intronisation el-hadj Ahmed sanoussi landou qualité imam djamiou deuxième mosquée central porto-novo . cérémonie placer sous présidence el-hadj liamidi kélani , président union islamique bénin , regrouper cour mosquée , sommité religion musulman , imams différent district province ouémé , foule parent ami . cérémonie avoir tout abord débuter présentation nouveau chef spirituel camarade bissiriou saïzonou membre comité directeur mosquée . nouveau chef spirituel imam djamiou sanoussi landou être issu famille alfas ( prêtre religieux ) ; être naître 1938 . après bref passage lycée Victor ballot , abandonner enseignement scholastique intégrer école coranique . 1970 entreprendre premier fois pèlerinage Mecque . 1971 1975 , diriger école coranique primaire créer porto-novo . deuxième mosquée central porto-novo avoir être également inaugurer dimanche dernier avoir être construire grâce apport financier association dénommer « majority islam » , terrain avoir être céder gratuitement El hadj inoussa abiodoun fagbémi . construction mosquée imposait , car adepte islam localité célébrer office achamou , prière nocturne précéder jeûne mois sacrer ramadan bord rue . fidèle devant effectuer plus 3 kilomètre rendre grand mosquée porto-novo . second orateur être camarade El hadj inoussa abiodoun fagbémi . avoir intervention féliciter nouveau chef avoir demander musulman porto-novo taire querelle regrouper autour jeune imam avoir début refuser assurer sacerdoce avoir finir céder face pression grand dignitaire islam bourgeoisie porto-novienne . El hadj inoussa abiodoun fagbémi avoir déclarer communauté musulman association dont être président être dire « majority islam » avoir déjà construire plusieurs mosquée ville porto-novo , demeurer encore disposée financer construction nouveau lieu prière . être revenu Iman central porto-novo El hadj moudjadidou damala remettre nouveau chef spirituel clé mosquée dont coût être évalué plus 20 million franc CFA . Salomon vidéhouénou"
1986-04-17;Inauguration de la mosquée centrale des Aguégués;être iman djamiou damala porto-novo avoir présider dimanche dernier cérémonie inauguration mosquée central aguégués . cérémonie être dérouler présence chef district localité délégation communauté musulman autre région vallée ouémé porto-novo . mosquée dont coût être évalué 50 million franc avoir être construire ruine ancien date 1952 . construction avoir être financer apport appréciable goun islamisé porto-novo être venir ailleurs nombreux cérémonie dimanche dernier , conduire chef spirituel « otoun » El hadj aboudou apithy dont être ailleurs premier sortie officiel depuis avoir être choisir autorité religieux musulman . comme avoir expliquer responsable musulman , contribution goun islamisé frère race avoir autre but mettre bon condition servir Dieu Allah . chef district aguégués avoir remercier communauté musulman aide appréciable apporter population depuis incendie 1983 avoir consumé entièrement village abriter aujourd'hui mosquée central aguégués . avoir demander administré mériter confiance placer prendre conscience propre devenir commencer abord compter propre force utiliser mosquée fin religieux , puis entretenir vue conserver toujours caractère plus beau plus imposant monument aguégués . S. V.
1986-05-05;L'Association Majority-Moubarak-Islam a fêté ses 36 ans;créer 1950 , association majority Moubarak islam avoir fêté dimanche dernier 36 an . quartier iléfiè porto-novo servir cadre déroulement manifestation . cérémonie année , avoir être placer sous présidence El hadj ismaïla saroukou . être occasion grand réjouissance populaire . nombreux inviter présent manifestation témoigner succès avoir connaître fête année cachet particulier avoir vouloir donner organisateur . intervention fuite El hadj machoury balogoun , secrétaire général association avoir retracé historique groupe . naître avoir 36 an sous nom majority erca Boys , objectif regrouper simplement danse traditionnel , occasion fête ramadan tabaski , association devoir suite changer objectif . nouveau vocation depuis 1959 être rassembler tout an frère sœur musulman . vocation essentiellement spirituel . où nouveau appelation groupe majority Moubarak islam . comité directeur huit membre diriger association . vingtaine membe ajouter constituer ensemble groupe . chemin parcourir jusque ici association être positif , avoir souligner secrétaire général . aide partenaire , solidarité coopération mutuelle milieu musulman avoir constituer essentiel action mener jusque ici . chapitre assistance social , falloir noter achat corbillard . deux autre corbillards avoir être également acheter conjointement autre société . avoir également construction grand mosquée appeler mosquée « Moubarak » financer entièrement association achat parcelle terrain cimétière musulman communauté . hommage public avoir être rendre président association El hadj ynoussa abiodun fagbémi avoir savoir jusque ici diriger efficacité clairvoyance . 36e anniversaire association avoir connaître succès populaire marquer également présence imams landou amandou sanoussi 2e mosquée central porto-novo , yamidi fils cotonou garba aboubakar ouidah . avoir tout prié unité monde musulman victoire révolution peuple béninois . R. T.
1986-07-21;Audiences du chef de l'Etat;grand camarade lutte , président kerekou avoir recevoir audience vendredi dernier palais présidence république cotonou , secrétaire association appel islam , frère Mohamed Ahmed shérif , délégation parlementaire allemand visite pays , ainsi groupe homme affaire conduire camarade Clément koukpaki , président association sauvegarde , orgasation , promotion expansion loisir culturel , éducatif sportif . journée chef état avoir également recevoir camarade Urbain karim da Silva , directeur général hôtel golfe . sortie cabinet présidentiel , frère Mohamed Ahmed shérif , secrétaire association appel islam avoir déclarer presse avoir informer président kerekou activité travail avoir avoir lieu cours séjour bénin . nombre celui-ci , avoir cité manifestation populaire avoir marquer tant porto-novo cotonou , cérémonie poser premier pierre hôpital porto-novo premier pierre centre Islamique cotonou . chef délégation parlementaire allemand , Professeur hornhue , avoir côté , déclarer avoir discuter chef état divers sujet relatif coopération bilatéral . avoir déclarer président kerekou avoir louer coopération entre deux pays avoir insister profond désir voir Allemagne réunifier . avoir être traité également cours audience problème apartheid . impression général dégager , avoir dire chef délégation parlementaire allemand être identité vue problème majeur . avoir saisir occasion louer hospitalité combien chaleureux dont avoir être objet avoir surtout remercier Allemands travailler bénin devoir grand marque sympathie peuple béninois . quand camarade Clément koukpaki , avoir déclarer avoir discuter chef état certain nombre projet association compter réaliser bénin . côté camarade Urbain karim da Silva , directeur hôtel golfe , avoir dire être aller présenter vif voix chef état condoléance suite événement douloureux avoir marquer dernier jour vie peuple béninois . avoir également discuter chef état projet lotissement cours .
1986-07-21;Le nouvel hôpital de Porto-Novo et le Centre Islamique de Cotonou verront bientôt le jour;"docteur Mohamed Ahmed shérif , secrétaire association appel islam , arriver pays 15 juillet dernier , avoir , cours séjour , poser deux acte dont réalisation renforceront fructueux lien coopération exister entre Libye bénin . visite avoir être marquer poser premier pierre 17 18 juillet , deux grand projet infrastructure : nouveau Hôpital porto-novo , centre Islamique cotonou , être financé association . l’on souvenir certainement avoir deux an , président moamar Kadhafi visite état chez , avoir signer grand camarade lutte Mathieu kérékou communiqué conjoint sanctionner résultat travail commission deux délégation . cadre accord coopération entre deux pays être inscrire communiqué , entre autre , réalisation projet ci-dessus mentionner ; projet être rentré jeudi vendredi dernier phase concrétisation . jeudi 17 juillet effet , autorité politico-administrative ceap-ouémé , responsable comité National Islamique bénin , communauté musulman population porto-novo ainsi délégation parti état avoir assister poser premier pierre nouveau Hôpital porto-novo docteur Mohamed Ahmed shérif . allocution prononcé occasion , celui préfet province , camarade félicien do Santos ministre santé public , André atchadé avoir exhalté sollicitude peuple libyen leader moamar khadafi endroit peuple béninois . secrétaire association appel islam , docteur Mohamed Ahmed shérif avoir part renouveler disponibilité peuple arabe libyen œuvrer coopération toujours plus fructueux pays . site nouveau hôpital trouver akonabè commune urbain ouando porto-novo . être hôpital 120 lit ; extensible suivant norme international . tenir certainement lieu centre hospitalier provincial afin désengorger actuel hôpital dont vétusté répondre plus exigence bon prestation sanitaire . ♦ vendredi 18 juillet , docteur Mohamed Ahmed shérif devoir poser premier pierre centre Islamique cotonou . cérémonie avoir avoir lieu DUC-I bord lagune , juste entrée Pont 26 octobre , avoir regroupé autorité politico-administrative CEAP-Atlantique , notable communauté islamique bénin ainsi foule musulman liesse . délégation parti état être conduite camarade girigissou gado , ministre equipement transports . trois allocution avoir marquer cérémonie , celui président CEAP-Atlantique , préfet province , camarade Souley mama sambo , représenter président union Islamique bénin ( UIB ) camarade ahounou mounirou , membre comité exécutif union , enfin secrétaire association appel islam . premier intervenant avoir mettre exergue service centre rendre pays domaine recherche religieux , science social histoire africain , philosophique , linguistique etc ... avoir enfin louer bon relation exister entre peuple béninois peuple libyen , voir peuple arabe tout entier . camarade ahounou mounirou avoir réitérer soutien communauté musulman bénin président moamar Kadhafi tout peuple libyen . avoir exprimer sentiment gratitude tout sollicitude leader libyen vue rayonnement islam bénin . quand docteur Mohamed Ahmed shérif , avoir indiquer construction centre Islamique cotonou rentrer cadre culture , relation entre Libye bénin , temps constituer chemin lumière , adoration Dieu , paix amour . transmettant recommandation président Kadhafi communauté musulman bénin , avoir demander communauté être côté peuple béninois révolution . centre Islamique cotonou , premier projet genre pays être complexe composer mosquée logement imam , centre enseignement coranique arabe , centre médical , centre apprentissage , bibliothèque terrain jeu . être association appel islam consentira effort financier . M. vitir ."
1986-07-24;Réception organisée en l'honneur du Docteur Ahmed Shérif;"arriver pays mardi 15 juillet dernier docteur Mohamed shérif secrétaire association appel islam entourer haut personnalité dont frère Mustapha abusseta avoir être recevoir diner vendredi dernier bénin Sheraton Hotel cotonou , délégation parti état conduite camarade gado guirigulssou . assistaient cérémonie outre imams cotonou porto-novo autorité politico-administrative province Atlantique ouémé . assister également plusieurs membre conseil exécutif National . toast avoir prononcer occasion camarade gado guiriguissou avoir rappeler deux acte important avoir être poser lors visite docteur Mohamed Ahmed shérif , agir poser premier pierre hôpital porto-novo celui centre islamique cotonou . deux projet avoir souligner camarade gado guiriguissou rentrent cadre développement consolidation lien coopération entre peuple béninois libyen avoir être arrêter commun accord entre leader révolution El fateh colonel moamar El kadafi président Mathieu kérékou . camarade gado guiriguissou avoir ensuite déclarer deux projet profiteront tant communauté libyen communauté béninoise . hôpital porto-novo , occuper santé peuple béninois , contribution peuple libyen objectif important révolution peuple béninois être santé . quant centre islamique , avoir dire indépendamment cadre religieux , être aussi centre culture tout celui intéressent culture langue arabe ; revenir , avoir dire camarade gado guiriguissou centre être tête non seulement musulman , autre couche social comme institut langue arabe université national bénin . camarade gado guiriguissou avoir nom tout autorité présent souhaiter deux projet pouvoir être réaliser technicien béninois libyen afin pouvoir aboutir 16 prochain mois . réponse , docteur Mohamed Ahmed shérif , secrétaire association appel islam avoir surtout remercier autorité centrale parti état accueil chaleureux dont avoir être objet depuis arrivée bénin . avoir déclarer acte avoir être poser rentrent cadre consolidation lien entre peuple libyen béninois . docteur Mohamed Ahmed shérif avoir tenir remercier chef état , président Mathieu kérékou , gouvernement peuple béninois ."
1986-08-18;Célébration de la fête de Tabaski;vendredi dernier , tout communauté musulman bénin avoir célébrer joie fêle aïd El kébir appeler couramment fête mouton tabaski . partout territoire national , parti état révolutionnaire avoir être représenter prière diriger imams . occasion , grand Iman El hadj djamiou kélani avoir , sermon cotonou , rassurer correligionnaire , inquiétaient faire mouton pouvoir être tuer , fête être tomber vendredi . « pouvoir devoir tuer mouton jour vendredi correspondre exactement aïd El kébir , jour obligatoire sacrifice tout musulman pouvoir » avoir notamment ajouter Iman . ainsi tout musulman avoir immolé mouton souvenir geste prophète Abraham Dieu avoir recommander offrande alors apprêtait sacrifier unique fils ismaël honorer promesse lui-même avoir faire créateur .
1986-10-02;Conférence générale constitutive de l'organisation de la jeunesse islamique de l'Ouémé;près sept cent jeune venir tout horizon avoir prendre part samedi dernier conférence général constitutive jeunesse islamique ouémé . être centre ansar DINE gbokou ( porto-novo III ) avoir servir cadre rencontrer présider iman djamiou province ouémé lequel pouvoir noter présence ministre culture , Jeunesse Sports , préfet province ouémé , imams djamiou district province inombrable inviter . autorité politico-administrative province ouémé , tolérance être maître mot devoir permettre nouveau association contribuer développement socio-économique région . oui , tolérance accepter travailler autre force organiser province afin sortir province léthargie . agir désormais raviver foi islamique sein jeunesse amener intéresser façon responsable vie public culturel province . rencontrer avoir être procédé analyse situation économique . être conscient rôle prépondérant jouer communauté islamique plan économique pays membre celui jeune organisation musulman avoir formuler recommandation décider certain nombre action devant concourir développement socio-économique province . accent particulier avoir être mettre cours rendez sécurité bien personne province ouémé où enregistrer dernier temps recrudescence criminalité . cible malfaiteur être bien entendre El hadji El hadja porto-novo . jeunesse musulman comme avoir souligner responsable , devoir constituer force solidaire aller avant processus développement province . issue travail bureau exécutif 17 membre être élire , dont président être camarade raphiou toukourou . tout cas nouveau bureau devoir mettre résolument travail sortir province léthargie , heure être verbiage , plutôt pratique . Salomon videhouenou
1986-10-07;Percée du phénomène de la mendicité à Cotonou;"persistance inégalité social , invalidité , désintégration familial misère révéler aujourd'hui cotonou comme nombre capitale africain , phénomène plus curieux humanité : mendicité . voici tableau sommaire manifestation fléau capitale économique . « faites-moi aumône nom Allah » . personne prononçait mot endroit passant être femme trentaine année , origine sahélienne , visage creuser indigence , simplement vêtir haillon ; être mère deux jumeau . « aumône nom Allah » , mot être refrain plusieurs centaine personne , mosaïque homme , vieux femme enfant . certain être aveugle , autre estropié paralytique . celui là inspirer pitié générosité . avoir aussi celui être plus forme avoir choisir métier , mendicité . vendredi , jour sacrer communauté musulman , jour méditation recueillement , être aussi jour aumône . devant grand mosquée jonquet , mendiant , surtout invalide , venir installer attendre fin prière cueillir moisson , rassembler comme cousins lignage , visage piteu . monde pauvre , austère rêve ni maison , ni tête bétail , encore moins terrain bâtir , simplement pièce argent poignée riz . être souvent plus soixantaine , attendre là , passif , regard inquiet , solliciter âme généreux pouvoir apitoyer malheur autre . ailleurs , alentours feu tricolorer sécurité routier , devant grand magasin marché ganhi être tout autre phénomène : femme enfant bien portant assaillent littéralement : tiraillement fillette ici , supplication femme là . falloir parfois force Hercule sortir . plus rusé catégorie mendiant hésiter user astuce . gamin fillette 7 9 an accoster , faire semblant essuyer chaussure tendre ensuite main . cible , homme femme bien habillé . après dur journée marche cueillir moisson autant plus rare crise baisse pouvoir achat sévissent , mendiant avoir point abri . nuit être souvent après-apocalypse . plus 100 mendiant croupir nuit zongo . intempérie avoir pouvoir déplacer . espace être ici aménager carion servir lit , toile cirée faire fonction couverture . tenter donner emplacement allure camp réfugié . odeur nauséabonde servir panneau indication . premier trouver esquisse regard fois interrogateur quémandeur . rendez plutôt pièce argent sourire . catie mulissal M. Mathieu Marcel Christian être curé belge ; avoir vivre 35 an bénin . révérend qualifier fléau « mal social » « plaie ville » . œil curé mendicité résulter non seulement invalidité , également désintégration familial ; falloir ajouter hostilité tribale , divorce précoce suivre éclatement famine , disparition brutal parent . facteur expliquer seul afflux mendiant ville cotonou . immigration être cause essentiel . parmi mendiant rencontrer , seulement 1 quatre être cotonou : être généralement femme , mère jumeau , gosse invalide posséder parfois tricycle . autre être invalide immigré ( aveugle , paralytique etc ) . paralytique parler anglais avoir dire être venir kaduna , faveur quelque gentil conducteur véhicule taxi . cependant exister immigré valide , plupart chassé sécheresse . certain cause social être donc imputable facteur naturel . nombreux mendiant venir Sahel , Zone frapper savoir depuis dix an sécheresse . région pouvoir produire suffisamment nourrir population avoir doubler 25 an . sécheresse aussi progression spectaculaire désert . plus 300.000 habitant , climat accueillant être vrai , cotonou être devenir soupape sûreté ville village démunir bénin ailleurs . heureusement , exister déjà quelque structure secours . avoir abord structure religieux . selon vicaire paroisse Saint Michel , 9 paroisse cotonou organisent collecte collectif 10.000 franc CFA paroisse mois venir aide certain démunir handicapé physique . organisent périodiquement quête intention mendiant . avoir niveau paroisse , distribution individuel argent parfois vivres malheureux . initiative révérend Gilbert Dagnon , curé paroisse Dame , coopératif plus vingtaine handicapé physique avoir voir jour cotonou . permettre handicapé réaliser petit travail caractère artistique , dont fruit revenir . niveau étatique exemple , avoir depuis quelque année cotonou centre promotion social aveugle amblyoper ( CPSAA ) sis District Urbain cotonou-ii sègbèya . tout structure citer seul , permettre non seulement réduire nombre celui avoir pouvoir être mendiant , ouvrir aussi porter intégration social celui-ci . reste cas préoccupant mendiant valide . capitale économique pouvoir prétendre offrir visage ville moderne si être tendu longueur journée main mendicité ?"
1986-10-29;Calendrier des Carêmes et Fêtes musulmans;camarade El hadj kélani A. liamidi fils , imam djamiou grand mosquée central cotonou , porte-parole lmam djamiou six province république populaire bénin , président union Islamique bénin porter connaissance tout musulman musulman bénin calendrier carême fête présenter comme suivre cours année lunaire 1406-1407 correspondre année 1986-1987 . , « mousieur » nuit 9e jour , jouissance flambeau nocturne dire Kayo-Kayo . samedi 13 septembre 1986 mois « rabioulawal » anniversaire naissance prophète Mouhammad . nuit jeudi 13 vendredi 14 novembre 1986 mois « RADJABOU » début carême dimanche 1er mars 1987 . fin carême dimanche 29 mars 1987 29 jour . mois « cvattre » commencer lundi 30 mars 1987 « nisfou cvattre » nuit 14e 15e jour mois . nuit dimanche 12 lundi 13 avril 1987 . mois terminer mardi 28 avril 1987 être 30 jour . mois « RAMADANE » : grand prière commencement carême dire « TARAWIYI ACHAMOU » mardi 28 avril 1987 . début carême mercredi 29 avril 1987 . « laelatoul-kadiri » nuit destiner être celui dimanche 24 lundi 25 mai 1987 . fin carême mercredi 27 mai 1987 être 29 jour . grand fête ramadan jeudi 28 mai 1987 . mois « zoul-hidjath » grand fête tabaski . mardi 4 août 1987 . imam djamiou cotonou souhaiter tout musulman tout musulman bénin passer agréable carême joyeuses fête bon grâce Allah prophète Mouhammad « paix Seigneur être » . porter parole imams bénin El hadj kélani A. liamidi fils imam djamiou cotonou président U.I.B.
